Fecha,Tipo,Número Registro,Nombre Comercial,Cantidad,Unidad,Peso,Valor,Modalidad,Importador,Exportador,Pais Origen,Pais Destino,Puerto Ingreso,Componente IAGT
5/8/2024 15:44,Fertilizantes,9988,Colonofertil Urea,9000,KILOGRAMOS,9000,4400,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
5/8/2024 15:44,Fertilizantes,8142,COLONOFERTIL KCl 0-0-60,15750,KILOGRAMOS,15750,8225,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,BELARÚS (BIELORRUSIA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Potasio expresado (K2O) /
6/8/2024 9:01,Fertilizantes,9988,Colonofertil Urea,15750,KILOGRAMOS,15750,7700,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,RUSIA (FEDERACIÓN RUSA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Nitrógeno Total expresado (N) /
6/8/2024 9:01,Fertilizantes,8142,COLONOFERTIL KCl 0-0-60,9000,KILOGRAMOS,9000,4700,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,BELARÚS (BIELORRUSIA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Potasio expresado (K2O) /
6/8/2024 10:30,Fertilizantes,7599,COLONOFERTIL 18-5-15 ACTIVADA,24750,KILOGRAMOS,24750,14850,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,COSTA RICA,NICARAGUA,ADUANA DE PEÑAS BLANCAS,Azufre expresado (S) / Boro expresado (B) / Calcio expresado (CaO) / Fósforo expresado (P2O5) / Magnesio expresado (MgO) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) / Silicio expresado (SiO2) /
6/8/2024 10:38,Fertilizantes,8142,COLONOFERTIL KCl 0-0-60,24750,KILOGRAMOS,24750,12925,Exportación,"EL COLONO AGROPECUARIO, S.A (NICARAGUA)",El Colono Agropecuario S.A,BELARÚS (BIELORRUSIA),NICARAGUA,ADUANA DE PEÑAS BLANCAS,Potasio expresado (K2O) /
3/7/2024 16:29,Fertilizantes,11166,FERTILIZANTE FOLIVEEX ZINC - BORO MAX,3000,KILOGRAMOS,3000,"12643,63",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,Azufre expresado (S) / Boro expresado (B) / Zinc expresado (Zn) / L- Aminoácidos / Bioenergético /
3/7/2024 16:29,Fertilizantes,7247,FERTILIZANTE PHYTOCROP PLUS.,2000,KILOGRAMOS,2000,"8799,63",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,Aminoácidos / Azufre expresado (S) / Boro expresado (B) / Citoquininas / Cobre expresado (Cu) / Giberelinas / Nitrógeno Total expresado (N) / Potasio expresado (K2O) / Zinc expresado (Zn) /
3/7/2024 16:29,Fertilizantes,2442,FERTILIZANTE FOLIVEEX POLISACARDIOS,3727,KILOGRAMOS,3727,"14682,3",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,Ácido Fúlvico / Aminoácidos / Boro expresado (B) / Nitrógeno Total expresado (N) / Polisacáridos / Potasio expresado (K2O) / Vitamina B /
3/7/2024 16:29,Fertilizantes,2834,FERTILIZANTE TRIFLAX,864,KILOGRAMOS,864,"4013,92",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,Aminoácidos / Bioactivador / Boro expresado (B) / Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) /
3/7/2024 16:29,Fertilizantes,5299,FERTILIZANTE PLANTOX 1000,2652,KILOGRAMOS,2652,"11210,77",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,Ácido Fúlvico / Ácidos Húmicos / Azufre expresado (S) / Boro expresado (B) / Manganeso expresado (Mn) / Molibdeno expresado (Mo) / Zinc expresado (Zn) / Algas (Ascophyllum nodosum) /
3/7/2024 16:29,Fertilizantes,2835,FERTILIZANTE FOLIVEEX 20-20-20,1000,KILOGRAMOS,1000,"3077,45",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,Ácido Fúlvico / Boro expresado (B) / Cobre expresado (Cu) / Fósforo expresado (P2O5) / Hierro expresado (Fe) / Magnesio expresado (MgO) / Manganeso expresado (Mn) / Molibdeno expresado (Mo) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) / Vitamina B / Zinc expresado (Zn) /
3/7/2024 16:29,Fertilizantes,7296,ACTIFOL PLUS,1440,KILOGRAMOS,1440,"19428,63",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,Azufre expresado (S) / Calcio expresado (CaO) / Cobre expresado (Cu) /
3/7/2024 16:29,Fertilizantes,2457,FERTILIZANTE FOLIVEEX CALCIO-BORO,3282,LITROS,3282,"10549,38",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,Aminoácidos / Boro expresado (B) / Calcio expresado (CaO) /
3/7/2024 16:29,Fertilizantes,5990,EVEREST,1488,LITROS,1488,"16645,36",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,"Aminoácidos libres / Extracto de algas / Polisacáridos / Proteínas, Péptidos y Carbohidratos /"
3/7/2024 16:29,Fertilizantes,4632,FERTILIZANTE FOLIVEEX MAGNESIO 8%,384,LITROS,384,"1400,4",Exportación,AGROVET JIRON & SONS,SERACSA COMERCIAL SOCIEDAD ANONIMA,COSTA RICA,BELICE,ADUANA DE PEÑAS BLANCAS,Azufre expresado (S) / Magnesio expresado (MgO) /
4/7/2024 8:31,Fertilizantes,5708,"Top Size REG MAG 5708 / Aminoácidos , Extractos Orgánicos,(P2O5),(N),(K2O),Fitorreguladores.",40,LITROS,40,12,Exportación,"Maxicaribe, SRL",SINTECAGRO SOCIEDAD DE RESPONSABILIDAD LIMITADA,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Aminoácidos / Extractos Orgánicos / Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) / Potasio expresado (K2O) / Fitorreguladores /
4/7/2024 8:31,Fertilizantes,3722,"Amino Grow PGR W REG MAG 3722 /Aminoácidos , Extractos Orgánicos,(P2O5), (N),Polisacáridos,(K2O),Fitorreguladores.",40,LITROS,40,12,Exportación,"Maxicaribe, SRL",SINTECAGRO SOCIEDAD DE RESPONSABILIDAD LIMITADA,COSTA RICA,PANAMÁ,ADUANA DE PASO CANOAS,Aminoácidos / Extractos Orgánicos / Fósforo expresado (P2O5) / Nitrógeno Total expresado (N) / Polisacáridos / Potasio expresado (K2O) / Fitorreguladores /
